,code,name,this_year_yield,past_week_yield,past_month_yield,past_quarter_yield,past_half_year_yield,past_year_yield
146,sz.002007,华兰生物,-10.38%,-5.26%,-6.19%,-4.40%,-4.79%,5.14%
147,sz.002001,新和成,-17.64%,-3.83%,-4.54%,-4.07%,-19.39%,-35.82%
148,sh.601318,中国平安,-1.46%,-3.91%,-0.34%,-4.01%,-3.61%,14.10%
149,sh.600000,浦发银行,-2.90%,-1.68%,-1.54%,-3.97%,-2.23%,-2.09%
150,sz.002236,大华股份,72.00%,2.42%,-4.56%,-3.91%,49.18%,32.49%
151,sz.000768,中航西飞,-6.23%,-0.70%,-5.86%,-3.83%,-8.71%,-19.67%
152,sz.000733,振华科技,-25.98%,5.62%,-5.12%,-3.81%,-16.16%,-26.35%
153,sz.002493,荣盛石化,-3.42%,-4.22%,-3.34%,-3.74%,-14.60%,-22.85%
154,sh.601766,中国中车,18.91%,-1.61%,-5.57%,-3.63%,7.02%,22.98%
155,sh.688363,华熙生物,-32.41%,-8.22%,-5.47%,-3.59%,-29.19%,-35.39%
156,sh.601009,南京银行,-20.42%,-0.71%,2.33%,-3.58%,-16.01%,-19.65%
157,sh.600900,长江电力,4.97%,0.37%,1.81%,-3.30%,4.42%,-5.51%
158,sh.601816,京沪高铁,9.05%,-2.39%,-3.46%,-3.28%,8.83%,16.74%
159,sh.601169,北京银行,5.83%,0.44%,-0.66%,-3.20%,5.58%,10.46%
160,sz.000538,云南白药,-4.12%,-2.19%,-1.60%,-3.04%,-8.20%,-2.84%
161,sh.600015,华夏银行,6.91%,-1.42%,0.54%,-2.96%,7.12%,9.43%
162,sh.601939,建设银行,7.28%,1.85%,2.72%,-2.74%,7.86%,11.03%
163,sh.600010,包钢股份,-7.77%,-2.73%,-0.56%,-2.73%,-12.75%,-16.04%
164,sz.000002,万科A,-24.19%,-4.95%,0.14%,-2.61%,-19.74%,-18.03%
165,sz.002230,科大讯飞,57.61%,-7.37%,-14.57%,-2.59%,10.21%,37.28%
166,sz.000876,新希望,-10.55%,-3.40%,-3.48%,-2.49%,-14.46%,-26.90%
167,sz.300498,温氏股份,-12.83%,-2.54%,-10.47%,-2.49%,-15.58%,-33.06%
168,sz.300433,蓝思科技,3.99%,-3.69%,-6.66%,-2.43%,-11.86%,-7.73%
169,sz.002415,海康威视,-0.32%,1.30%,3.73%,-2.20%,-9.29%,10.90%
170,sh.601398,工商银行,7.66%,0.00%,1.53%,-2.11%,8.16%,7.41%
171,sh.601868,中国能建,0.87%,-1.69%,-0.85%,-2.10%,-1.27%,2.19%
172,sh.600025,华能水电,7.57%,0.28%,3.57%,-2.03%,2.26%,0.14%
173,sz.000166,申万宏源,15.33%,-6.90%,-1.29%,-1.92%,8.77%,9.81%
174,sh.688126,沪硅产业,15.70%,1.13%,0.10%,-1.81%,2.43%,-1.67%
175,sh.601229,上海银行,1.86%,-1.47%,0.33%,-1.63%,1.01%,3.44%
176,sh.601006,大秦铁路,10.57%,1.10%,1.81%,-1.61%,8.12%,16.19%
177,sh.601988,中国银行,21.20%,0.52%,3.23%,-1.54%,18.94%,27.24%
178,sh.600018,上港集团,-3.92%,-0.77%,-2.28%,-1.53%,-2.09%,-3.56%
179,sh.600085,同仁堂,24.81%,-1.73%,9.00%,-1.44%,18.35%,16.83%
180,sh.601328,交通银行,17.51%,-0.54%,0.91%,-1.42%,14.14%,22.15%
181,sh.601319,中国人保,12.10%,-2.79%,0.51%,-1.33%,15.15%,26.98%
182,sh.601618,中国中冶,18.38%,-1.81%,-5.24%,-1.30%,11.11%,17.65%
183,sh.601066,中信建投,5.63%,-6.08%,3.60%,-1.25%,-4.45%,-5.45%
184,sz.000596,古井贡酒,0.19%,0.32%,6.40%,-1.12%,-3.14%,7.52%
185,sh.601995,中金公司,7.79%,1.47%,15.10%,-1.08%,-3.74%,-3.07%
186,sh.601818,光大银行,1.32%,0.33%,4.05%,-0.96%,3.70%,8.83%
187,sh.600674,川投能源,21.85%,-1.26%,0.54%,-0.73%,17.52%,10.95%
188,sh.601238,广汽集团,-8.97%,-4.25%,-5.23%,-0.59%,-11.89%,-29.27%
189,sz.000333,美的集团,3.55%,-2.73%,-5.37%,-0.54%,1.40%,3.07%
190,sz.000723,美锦能源,-18.60%,-3.50%,0.00%,-0.40%,-22.50%,-35.92%
191,sz.000651,格力电器,5.32%,-4.44%,-6.53%,-0.32%,-6.37%,13.23%
192,sh.601155,新城控股,-31.29%,-9.22%,-2.66%,-0.29%,-29.18%,-34.62%
193,sh.600031,三一重工,-3.48%,-3.48%,-10.97%,-0.26%,-18.27%,-5.10%
194,sh.688303,大全能源,-16.76%,2.98%,-0.45%,-0.20%,-16.73%,-33.00%
195,sh.600383,金地集团,-26.90%,-11.93%,6.87%,-0.14%,-24.41%,-38.10%
196,sz.000725,京东方A,10.72%,-2.80%,-8.61%,0.26%,-7.73%,-2.30%
197,sh.600584,长电科技,28.44%,-2.72%,-12.30%,0.30%,6.48%,13.72%
198,sh.600029,南方航空,-15.05%,-5.34%,-3.33%,0.31%,-16.16%,-0.16%
199,sh.600690,海尔智家,-8.21%,-4.40%,-1.37%,0.40%,-15.71%,-7.79%
200,sh.601216,君正集团,5.42%,-0.70%,1.18%,0.47%,-2.95%,-2.73%
201,sz.002601,龙佰集团,-11.23%,-2.15%,-2.60%,0.48%,-24.08%,-9.85%
202,sz.000895,双汇发展,-2.41%,-2.22%,3.17%,0.48%,-5.53%,-3.50%
203,sz.000408,藏格矿业,-13.49%,-4.38%,1.01%,0.53%,-17.77%,-28.68%
204,sh.601186,中国铁建,25.60%,-2.08%,-1.29%,0.61%,22.80%,35.75%
205,sz.300408,三环集团,-0.94%,-2.09%,-4.54%,0.63%,-5.10%,2.80%
206,sh.600150,中国船舶,23.80%,-1.22%,-12.15%,0.64%,17.68%,2.53%
207,sz.000776,广发证券,-0.26%,-5.74%,2.93%,0.67%,-7.18%,-7.47%
208,sz.300413,芒果超媒,-9.56%,-6.08%,-13.25%,0.70%,-11.94%,-0.96%
209,sz.000877,天山股份,-5.02%,-2.75%,-1.21%,0.74%,-18.03%,-23.71%
210,sh.601633,长城汽车,-14.09%,-4.21%,0.44%,0.81%,-27.18%,-27.22%
211,sh.601668,中国建筑,6.56%,-1.52%,5.22%,0.86%,4.09%,17.47%
212,sh.600219,南山铝业,-7.49%,-2.22%,0.65%,0.98%,-15.11%,-15.34%
213,sh.601288,农业银行,20.00%,-0.29%,1.46%,1.16%,19.18%,23.40%
214,sz.000338,潍柴动力,15.00%,-2.48%,-6.05%,1.20%,-5.75%,1.90%
215,sh.600585,海螺水泥,-6.50%,1.53%,8.50%,1.21%,-16.66%,-17.67%
216,sz.002179,中航光电,-26.77%,3.98%,-2.55%,1.23%,-24.44%,-30.60%
217,sh.601390,中国中铁,33.16%,-3.10%,-1.96%,1.35%,24.34%,33.16%
218,sh.601236,红塔证券,9.27%,-6.01%,9.42%,1.37%,-5.47%,-7.61%
219,sh.600606,绿地控股,-3.67%,-6.17%,-0.34%,1.40%,-7.37%,-7.67%
220,sh.600547,山东黄金,25.40%,1.28%,-4.42%,1.45%,28.97%,36.08%
221,sz.300750,宁德时代,-41.61%,-2.19%,3.89%,1.52%,-43.88%,-59.15%
222,sz.300059,东方财富,-20.39%,-5.66%,8.87%,1.59%,-26.60%,-32.54%
223,sz.000157,中联重科,13.69%,-4.15%,-5.75%,1.63%,-7.43%,4.18%
224,sh.600028,中国石化,40.68%,1.98%,-2.67%,1.64%,33.69%,47.73%
225,sz.000977,浪潮信息,79.73%,-4.03%,-11.27%,1.93%,6.38%,70.39%
226,sh.601211,国泰君安,10.71%,-4.24%,3.04%,1.99%,4.27%,1.57%
227,sh.600016,民生银行,15.99%,0.25%,2.05%,2.05%,17.01%,10.83%
228,sh.600176,中国巨石,-0.29%,-3.61%,-0.14%,2.28%,-9.15%,-6.40%
229,sz.300751,迈为股份,-55.93%,-4.98%,0.84%,2.35%,-49.65%,-66.04%
230,sh.600362,江西铜业,7.26%,-1.62%,-0.79%,2.46%,-4.67%,10.35%
231,sh.600886,国投电力,19.65%,-1.14%,2.13%,2.53%,23.88%,17.91%
232,sh.601021,春秋航空,-8.92%,-5.42%,-8.37%,2.62%,-6.61%,15.85%
233,sh.600019,宝钢股份,9.82%,-2.23%,6.77%,2.67%,-8.48%,15.60%
234,sh.601878,浙商证券,3.29%,-6.67%,3.40%,2.78%,-0.38%,-8.33%
235,sh.601808,中海油服,-11.64%,-0.34%,0.75%,2.78%,-5.79%,2.00%
236,sz.002736,国信证券,6.67%,-5.60%,4.42%,2.83%,-1.77%,2.50%
237,sh.600809,山西汾酒,-19.59%,-1.64%,5.97%,2.85%,-21.31%,-15.23%
238,sh.603369,今世缘,17.03%,1.94%,4.87%,2.89%,-6.65%,28.66%
239,sz.002064,华峰化学,2.49%,-2.37%,-5.15%,2.94%,-14.63%,-10.49%
240,sz.000425,徐工机械,19.84%,-2.38%,-12.25%,3.18%,-12.62%,17.33%
241,sz.003816,中国广核,16.97%,0.32%,5.32%,3.26%,16.54%,12.01%
242,sz.000800,一汽解放,7.79%,-1.40%,-5.59%,3.30%,-1.86%,-2.43%
243,sh.600741,华域汽车,6.25%,-0.55%,0.55%,3.41%,-4.36%,-11.31%
244,sh.600999,招商证券,8.23%,-5.60%,2.87%,3.54%,1.99%,8.64%
245,sh.600958,东方证券,14.14%,-5.96%,5.13%,3.64%,0.59%,15.43%
246,sz.000568,泸州老窖,2.10%,-2.26%,0.63%,3.64%,-9.70%,4.41%
247,sz.300033,同花顺,64.05%,-11.74%,2.17%,4.14%,34.25%,89.25%
248,sh.600519,贵州茅台,2.54%,-2.53%,0.16%,4.29%,-0.78%,-5.13%
249,sz.002142,宁波银行,-16.76%,-1.32%,9.56%,4.52%,-10.51%,-3.21%
250,sh.601728,中国电信,36.32%,2.77%,2.42%,4.59%,7.23%,56.05%
251,sh.605499,东鹏饮料,5.42%,3.59%,-0.15%,4.72%,-10.68%,20.48%
252,sh.601881,中国银河,30.39%,-4.62%,2.66%,5.28%,24.30%,32.71%
253,sh.600061,国投资本,21.29%,-5.41%,2.73%,5.32%,7.43%,18.24%
254,sh.600309,万华化学,-1.02%,-2.42%,-0.59%,5.47%,-10.10%,0.64%
255,sh.600104,上汽集团,-3.05%,-2.65%,-1.83%,5.67%,-6.62%,-14.24%
256,sz.002050,三花智控,31.41%,1.63%,1.11%,6.17%,7.00%,-7.85%
257,sh.601985,中国核电,19.70%,0.97%,2.10%,6.27%,21.70%,8.97%
258,sh.600989,宝丰能源,8.70%,-2.55%,-0.15%,6.28%,-13.52%,-7.54%
259,sz.000625,长安汽车,3.81%,-4.19%,-3.47%,6.48%,-4.83%,-21.84%
260,sh.688036,传音控股,55.44%,-2.47%,-3.87%,6.74%,47.95%,58.39%
261,sh.601872,招商轮船,5.67%,0.49%,-2.69%,6.77%,-14.35%,-23.79%
262,sh.600048,保利发展,-11.15%,-3.86%,8.64%,6.78%,-8.18%,-16.77%
263,sh.600426,华鲁恒升,-4.45%,-0.38%,-1.76%,7.11%,-13.24%,9.97%
264,sh.601901,方正证券,12.29%,-5.12%,7.28%,7.60%,3.29%,2.41%
265,sz.002271,东方雨虹,-16.21%,-4.86%,5.78%,7.69%,-20.15%,-11.75%
266,sh.601377,兴业证券,16.87%,-6.73%,5.39%,7.78%,3.91%,5.39%
267,sz.000063,中兴通讯,33.94%,-2.31%,-15.66%,8.02%,15.38%,41.52%
268,sh.601788,光大证券,17.29%,-4.35%,6.17%,8.22%,9.87%,7.82%
269,sh.601857,中国石油,54.69%,1.31%,-2.64%,8.24%,48.18%,46.23%
270,sh.600941,中国移动,37.89%,2.82%,2.76%,8.43%,27.37%,52.82%
271,sh.600918,中泰证券,18.66%,-5.57%,9.47%,8.69%,9.00%,3.53%
272,sh.600837,海通证券,17.69%,-4.98%,5.31%,9.06%,10.49%,6.98%
273,sz.000100,TCL科技,0.79%,-4.03%,-10.56%,9.17%,-14.38%,-16.45%
274,sz.001979,招商蛇口,5.38%,-3.36%,8.69%,9.39%,-6.51%,-5.26%
275,sh.601800,中国交建,32.13%,-2.67%,1.96%,9.73%,19.82%,38.48%
276,sh.601100,恒立液压,3.27%,-2.43%,-3.70%,10.26%,-8.87%,26.93%
277,sh.603993,洛阳钼业,22.89%,-1.73%,-1.04%,10.27%,-5.01%,6.75%
278,sz.002252,上海莱士,3.83%,-2.49%,-6.75%,10.34%,14.47%,23.73%
279,sz.002027,分众传媒,4.99%,-1.65%,0.70%,10.51%,12.07%,23.49%
280,sh.601838,成都银行,-8.45%,1.39%,8.11%,11.14%,-3.34%,-2.46%
281,sz.300124,汇川技术,-4.80%,-0.27%,-0.02%,11.14%,-9.15%,3.72%
282,sz.002648,卫星化学,-6.08%,-3.69%,-5.96%,11.66%,-19.27%,-42.98%
283,sh.601600,中国铝业,28.19%,-2.84%,1.04%,11.92%,6.01%,26.25%
284,sh.601336,新华保险,37.96%,-2.92%,8.21%,12.06%,34.00%,49.91%
285,sh.600030,中信证券,14.57%,-5.04%,11.82%,12.20%,10.73%,14.57%
286,sz.002475,立讯精密,-1.21%,-2.20%,-2.78%,12.50%,0.45%,-18.84%
287,sh.603259,药明康德,-6.44%,-1.90%,12.85%,12.70%,-7.54%,-14.17%
288,sh.688065,凯赛生物,-3.67%,-0.53%,-1.49%,13.05%,-7.46%,-20.87%
